,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-millwd
634,77.51,72.67,73.48,76.32,71.55,59.76,76.51,64.49,67.57,94.75,75.48,56.19,78.56,58.3,76.09
635,77.51,72.59,73.48,76.32,71.55,59.83,76.51,64.41,67.57,94.75,75.48,56.34,78.56,58.37,76.17
636,77.34,72.57,73.36,76.24,71.56,59.79,76.54,64.56,67.68,95.8,75.4,56.22,78.55,58.4,76.09
637,77.5,72.72,73.52,76.31,71.71,60.04,76.54,64.76,67.81,95.88,75.56,56.62,78.64,58.88,76.17
638,83.96,79.08,79.96,82.64,77.63,64.13,82.66,69.5,73.01,100.03,81.73,60.22,85.25,62.69,82.48
639,79.13,74.29,75.05,77.76,73.18,61.01,77.98,65.94,69.03,95.22,76.98,57.37,80.2,59.67,77.61
640,79.46,74.64,75.42,78.08,73.47,61.07,78.3,66.06,69.2,95.55,77.3,57.34,80.62,59.66,78.01
641,88.29,50.57,51.0,78.09,55.26,47.46,78.24,51.13,63.71,99.57,77.05,45.94,79.79,47.68,78.15
642,95.79,28.55,28.43,77.26,38.26,34.4,77.41,36.85,57.97,103.22,76.07,34.74,144.21,35.91,77.53
643,97.39,28.6,28.42,78.27,38.7,34.45,78.41,36.95,58.54,104.43,77.12,34.8,79.54,35.95,78.49
644,95.74,28.64,28.47,77.04,38.55,34.32,77.13,36.83,57.8,103.02,75.92,34.49,78.0,35.66,77.26
645,95.77,28.64,28.47,77.06,38.55,34.35,77.18,36.86,57.84,101.21,75.95,34.55,78.05,35.72,77.28
646,99.43,23.46,23.32,78.01,34.36,30.01,78.09,32.72,56.69,103.36,76.85,30.8,78.8,31.93,78.31
647,94.0,30.24,30.02,76.13,39.75,35.62,76.25,38.08,57.88,99.89,75.07,35.65,77.09,36.87,76.36
648,97.36,28.63,28.4,78.06,38.68,34.42,78.12,37.0,58.45,89.79,76.95,34.73,78.94,35.91,78.28
649,200.45,-1.46,-1.45,142.39,25.27,16.85,140.61,22.82,88.47,170.9,139.78,22.9,142.48,24.27,143.35
650,180.61,-2.26,-2.25,128.01,21.92,14.32,126.63,19.72,79.22,154.21,125.66,19.86,128.06,21.08,128.88
651,230.75,-7.08,-7.03,143.86,20.8,12.21,142.03,18.39,87.5,210.24,141.16,18.9,143.81,20.2,144.88
652,147.39,-3.6,-3.58,103.93,16.3,10.12,103.35,14.55,63.73,125.62,102.0,14.81,103.94,15.77,104.66
653,107.97,-3.5,-3.47,75.88,11.18,6.66,75.92,9.91,46.25,92.76,74.46,10.18,75.89,10.87,76.42
654,100.82,13.95,13.81,75.99,25.87,21.48,76.08,24.32,52.04,86.35,74.78,22.93,76.25,23.85,76.36
655,96.64,23.81,23.55,76.04,34.22,29.89,76.19,32.42,55.4,84.53,74.95,30.5,76.47,31.55,76.32
656,92.65,34.45,34.35,76.09,42.2,36.05,76.25,39.04,57.8,82.75,75.07,35.7,76.75,36.92,76.24
