,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-other_fossil_fuels
984,3429.0,4908.0,4547.0,2697.0,78.0,225.0,3.0
985,3442.0,4936.0,4521.0,2707.0,90.0,221.0,3.0
986,3453.0,4924.0,4505.0,2701.0,104.0,229.0,3.0
987,3443.0,4931.0,4488.0,2707.0,110.0,229.0,3.0
988,3402.0,4902.0,4466.0,2703.0,110.0,226.0,3.0
989,3387.0,4849.0,4316.0,2706.0,110.0,228.0,3.0
990,3357.0,4748.0,4281.0,2703.0,119.0,226.0,3.0
991,3308.0,4685.0,4273.0,2707.0,129.0,227.0,3.0
992,3252.0,4591.0,4272.0,2702.0,143.0,227.0,3.0
993,3237.0,4487.0,4271.0,2704.0,157.0,224.0,3.0
994,3283.0,4432.0,4258.0,2703.0,169.0,227.0,3.0
995,3273.0,4419.0,4246.0,2708.0,182.0,228.0,3.0
996,3267.0,4382.0,4234.0,2701.0,192.0,225.0,3.0
997,3248.0,4369.0,4196.0,2704.0,201.0,226.0,3.0
998,3238.0,4342.0,4170.0,2701.0,210.0,224.0,3.0
999,3204.0,4308.0,4149.0,2703.0,212.0,223.0,3.0
