,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
365,16.0,15.0,14.0,15.0,14.0,17.0
366,15.0,15.0,14.0,15.0,14.0,16.0
367,16.0,15.0,14.0,15.0,14.0,16.0
368,15.0,15.0,14.0,15.0,14.0,16.0
369,15.0,15.0,15.0,15.0,15.0,16.0
370,15.0,16.0,15.0,16.0,15.0,15.0
371,15.0,15.0,15.0,16.0,15.0,15.0
372,15.0,16.0,15.0,16.0,15.0,15.0
373,15.0,16.0,15.0,16.0,15.0,15.0
374,16.0,16.0,17.0,16.0,17.0,16.0
375,16.0,16.0,16.0,16.0,16.0,16.0
376,15.0,16.0,15.0,16.0,15.0,16.0
377,16.0,15.0,15.0,16.0,15.0,16.0
378,16.0,15.0,15.0,16.0,15.0,17.0
379,16.0,15.0,15.0,15.0,15.0,17.0
380,17.0,15.0,15.0,15.0,14.0,17.0
381,17.0,16.0,15.0,15.0,14.0,18.0
382,18.0,18.0,15.0,17.0,14.0,21.0
383,18.0,18.0,15.0,17.0,14.0,21.0
384,18.0,18.0,15.0,17.0,14.0,20.0
385,18.0,17.0,15.0,16.0,14.0,20.0
386,17.0,16.0,15.0,16.0,15.0,18.0
387,17.0,16.0,15.0,16.0,15.0,18.0
388,17.0,15.0,15.0,17.0,16.0,17.0
389,17.0,15.0,14.0,16.0,16.0,17.0
390,16.0,15.0,15.0,17.0,16.0,17.0
391,17.0,15.0,14.0,17.0,16.0,17.0
392,17.0,15.0,14.0,17.0,16.0,18.0
393,17.0,15.0,14.0,17.0,16.0,18.0
394,18.0,15.0,15.0,17.0,17.0,18.0
395,17.0,15.0,14.0,17.0,16.0,18.0
396,17.0,15.0,14.0,17.0,16.0,18.0
397,17.0,15.0,14.0,17.0,16.0,18.0
398,17.0,16.0,15.0,17.0,16.0,18.0
399,17.0,15.0,15.0,17.0,16.0,18.0
400,18.0,16.0,15.0,16.0,15.0,19.0
401,19.0,16.0,16.0,15.0,15.0,19.0
402,21.0,16.0,16.0,15.0,15.0,21.0
403,23.0,16.0,16.0,16.0,15.0,23.0
404,25.0,16.0,16.0,18.0,18.0,25.0
405,26.0,16.0,15.0,20.0,19.0,27.0
406,27.0,15.0,15.0,18.0,18.0,27.0
407,28.0,14.0,14.0,18.0,18.0,28.0
408,29.0,14.0,14.0,17.0,17.0,29.0
409,29.0,14.0,14.0,17.0,16.0,29.0
410,31.0,15.0,14.0,18.0,16.0,32.0
411,29.0,15.0,13.0,17.0,16.0,30.0
412,28.0,16.0,14.0,19.0,17.0,30.0
413,28.0,16.0,14.0,18.0,16.0,30.0
414,29.0,15.0,13.0,18.0,17.0,31.0
415,28.0,15.0,13.0,17.0,16.0,29.0
416,35.0,15.0,14.0,17.0,16.0,36.0
417,31.0,15.0,14.0,16.0,15.0,32.0
418,21.0,15.0,14.0,18.0,16.0,22.0
419,20.0,16.0,14.0,18.0,16.0,22.0
420,18.0,16.0,14.0,19.0,16.0,20.0
421,18.0,16.0,14.0,19.0,17.0,20.0
422,19.0,16.0,14.0,20.0,18.0,20.0
423,18.0,15.0,14.0,20.0,19.0,20.0
424,18.0,15.0,14.0,21.0,20.0,19.0
425,17.0,15.0,14.0,21.0,20.0,18.0
426,19.0,15.0,14.0,22.0,20.0,20.0
427,19.0,15.0,14.0,22.0,20.0,20.0
428,19.0,15.0,14.0,22.0,20.0,20.0
429,20.0,15.0,14.0,21.0,20.0,21.0
430,21.0,16.0,14.0,21.0,19.0,23.0
431,22.0,17.0,15.0,20.0,18.0,24.0
432,23.0,18.0,16.0,19.0,16.0,25.0
433,24.0,19.0,17.0,18.0,16.0,26.0
434,23.0,19.0,17.0,18.0,15.0,26.0
435,23.0,19.0,17.0,17.0,15.0,25.0
436,23.0,20.0,18.0,17.0,15.0,25.0
437,23.0,20.0,18.0,17.0,15.0,25.0
438,24.0,20.0,18.0,17.0,16.0,25.0
439,22.0,20.0,18.0,18.0,16.0,24.0
440,21.0,18.0,17.0,18.0,17.0,22.0
441,22.0,18.0,17.0,18.0,17.0,24.0
442,22.0,18.0,16.0,20.0,17.0,24.0
443,20.0,18.0,15.0,20.0,17.0,23.0
444,19.0,17.0,15.0,20.0,18.0,22.0
445,20.0,17.0,15.0,21.0,19.0,22.0
446,20.0,17.0,15.0,22.0,20.0,22.0
447,19.0,17.0,15.0,23.0,21.0,21.0
448,20.0,17.0,16.0,23.0,22.0,21.0
449,20.0,17.0,16.0,23.0,22.0,21.0
450,20.0,18.0,16.0,24.0,22.0,22.0
451,20.0,19.0,15.0,25.0,22.0,23.0
452,20.0,19.0,16.0,25.0,22.0,23.0
453,20.0,18.0,16.0,24.0,22.0,22.0
454,21.0,17.0,16.0,22.0,21.0,22.0
455,21.0,18.0,16.0,21.0,20.0,22.0
456,21.0,17.0,16.0,20.0,18.0,22.0
