,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel
361,3.0,5012.0,3242.0,217.0,3374.0,254.0,5080.0
362,3.0,5020.0,3243.0,220.0,3383.0,257.0,5078.0
363,3.0,5019.0,3244.0,215.0,3381.0,254.0,5092.0
364,3.0,5027.0,3245.0,210.0,3385.0,250.0,5102.0
365,3.0,5029.0,3246.0,208.0,3372.0,249.0,5127.0
366,3.0,5034.0,3240.0,227.0,3402.0,250.0,5121.0
367,3.0,5036.0,3241.0,244.0,3384.0,250.0,5144.0
368,3.0,5044.0,3242.0,234.0,3383.0,249.0,5166.0
369,3.0,5044.0,3242.0,234.0,3383.0,249.0,5166.0
370,3.0,5044.0,3242.0,234.0,3383.0,249.0,5166.0
371,3.0,5043.0,3243.0,252.0,3358.0,253.0,5031.0
372,3.0,4979.0,3242.0,250.0,3326.0,250.0,4963.0
373,3.0,5005.0,3242.0,260.0,3277.0,246.0,4996.0
374,3.0,5049.0,3246.0,268.0,3137.0,247.0,5056.0
375,3.0,5090.0,3243.0,265.0,3089.0,245.0,5096.0
376,3.0,5119.0,3246.0,263.0,3062.0,246.0,5108.0
377,3.0,5132.0,3244.0,268.0,3057.0,245.0,5102.0
378,3.0,5146.0,3242.0,264.0,3018.0,250.0,5133.0
379,3.0,5177.0,3244.0,266.0,3024.0,249.0,5163.0
380,3.0,5204.0,3241.0,259.0,3032.0,244.0,5146.0
381,3.0,5208.0,3241.0,264.0,3033.0,246.0,5150.0
382,3.0,5142.0,3241.0,274.0,3046.0,246.0,5141.0
383,3.0,5019.0,3241.0,264.0,3131.0,246.0,5093.0
384,3.0,4960.0,3240.0,252.0,3274.0,247.0,5044.0
385,3.0,4884.0,3243.0,249.0,3323.0,242.0,5054.0
386,3.0,4929.0,3244.0,249.0,3248.0,245.0,5127.0
387,3.0,4924.0,3243.0,242.0,3280.0,241.0,5160.0
388,3.0,4941.0,3239.0,235.0,3295.0,240.0,5164.0
389,3.0,4968.0,3242.0,222.0,3303.0,243.0,5167.0
390,3.0,4979.0,3242.0,219.0,3252.0,245.0,5191.0
