,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan
294,26.0,39.0,44.0,52.0,7.0,51.0,113.0,6.0,33.0,17.0
295,26.0,48.0,37.0,38.0,7.0,57.0,26.0,5.0,42.0,17.0
296,37.0,48.0,37.0,38.0,7.0,57.0,26.0,5.0,42.0,17.0
297,37.0,35.0,28.0,20.0,6.0,54.0,22.0,0.0,46.0,16.0
298,45.0,35.0,28.0,20.0,6.0,54.0,22.0,0.0,46.0,16.0
299,45.0,23.0,53.0,20.0,3.0,46.0,29.0,2.0,41.0,10.0
300,42.0,23.0,53.0,20.0,3.0,46.0,29.0,2.0,41.0,10.0
301,42.0,26.0,69.0,19.0,3.0,42.0,39.0,4.0,46.0,7.0
302,43.0,26.0,69.0,19.0,3.0,42.0,39.0,4.0,46.0,7.0
303,43.0,36.0,72.0,17.0,4.0,46.0,67.0,4.0,64.0,8.0
304,39.0,36.0,72.0,17.0,4.0,46.0,67.0,4.0,64.0,8.0
305,39.0,50.0,83.0,23.0,5.0,48.0,56.0,3.0,36.0,15.0
