,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-north,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-overall,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-millwd,electricity-load-nyiso-mhk_valley
163,711.543,976.1968,529.4215,1473.8114,1315.5615,6142.1187,17163.9749,1556.346,1068.5841,2511.632,286.7057,737.8674
164,698.6678,968.5638,520.0724,1456.8701,1304.7689,6117.1934,17106.967500000002,1591.0603,1056.7246,2495.5603,281.313,741.9334
165,708.1458,961.6406,519.2012,1434.3074,1297.9424,6026.122,17010.749099999997,1587.8414,1077.4319,2477.6504,279.8105,727.9663
166,700.3608,961.6406,519.2012,1434.5166,1297.9424,6004.5176,17010.749099999997,1587.8414,1077.4319,2477.6504,279.8105,727.9663
167,700.3608,954.5886,538.4605,1434.5166,1289.855,5946.387,16891.2626,1575.7207,1038.8865,2448.7246,288.6051,710.0065
168,698.9634,958.2793,532.3796,1436.7507,1275.3119,5946.387,16862.4191,1601.3617,1034.2626,2433.0615,285.1101,713.0049
169,716.5947,937.3031,538.8635,1430.4913,1272.7698,5910.701,16766.8056,1589.7197,1046.028,2412.6902,268.5932,696.1935
170,680.0685,943.541,538.829,1431.6971,1263.7393,5882.5615,16661.6483,1575.7842,995.6072,2413.9922,279.8183,697.6871
171,678.3309,945.0464,544.6574,1413.0886,1277.155,5892.879,16647.9745,1571.1039,1022.7961,2393.7202,275.0264,693.9021
172,679.8785,936.522,541.3617,1412.8695,1258.531,5861.2305,16502.7353,1509.6603,1041.2977,2362.5635,274.7955,690.7206
173,677.5313,929.5841,546.0311,1414.0977,1255.4585,5831.819,16473.010299999998,1555.6353,1030.924,2348.3723,259.9774,690.0501
174,673.0456,927.5682,548.6762,1405.9832,1244.7728,5795.654,16459.643200000002,1531.8628,1017.6169,2357.7512,264.2889,692.9406
175,666.8442,924.8857,547.0155,1415.963,1246.088,5777.9487,16384.1306,1540.9708,1000.8,2347.7886,259.633,689.7833
176,667.294,921.8024,551.4477,1409.525,1236.6904,5791.3584,16272.0736,1532.1194,992.1178,2325.7986,268.1242,685.9938
177,664.7847,922.0222,534.3111,1402.7046,1233.4143,5750.3467,16232.002699999997,1534.3242,1021.7655,2323.2727,251.7914,687.6449
178,661.489,916.0447,547.83,1372.1254,1226.3129,5690.49,16173.0928,1534.3926,983.7533,2308.517,261.5761,681.1838
179,663.4204,915.91,552.7583,1404.0386,1230.1765,5689.842,16123.325499999997,1529.1042,981.9133,2291.607,263.4044,671.6417
180,656.9113,911.821,543.3739,1381.6888,1229.853,5646.0234,16088.886700000001,1539.6309,983.1439,2284.3164,262.2037,678.2112
181,650.0883,910.3526,540.8289,1363.0017,1231.1898,5648.21,16100.458499999997,1528.7112,998.032,2284.2065,245.4425,673.9115
182,658.7506,913.2109,540.2675,1366.7339,1221.9688,5643.2427,15976.9573,1481.2098,986.0523,2275.0908,257.195,672.3235
183,649.8657,905.1023,544.6801,1368.6797,1216.2917,5662.299,15937.5916,1496.9519,983.4968,2263.6514,247.4782,671.2008
184,650.9056,903.8077,545.5984,1376.4314,1229.7014,5611.0933,15909.830000000002,1515.4972,988.4168,2257.8564,248.0367,662.9871
185,648.0172,900.8359,543.932,1355.1045,1212.7587,5581.4014,15841.390500000001,1512.11,964.0528,2241.853,248.4401,655.8091
186,643.7765,901.6385,546.3456,1368.466,1212.1418,5554.8066,15801.400200000002,1493.7571,979.4598,2237.2854,241.5831,663.4976
187,641.2298,898.1331,542.3543,1349.1995,1220.6526,5549.3564,15752.0333,1470.225,965.2345,2232.963,239.3741,652.5002
188,641.4839,895.6309,543.111,1374.5579,1192.3932,5535.262,15688.9872,1483.4435,936.4034,2235.544,248.7124,664.6604
