,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
207,27.0,83.0,181.0,11.0,130.0,0.0,26.0,5.0,14.0,51.0
208,10.0,134.0,213.0,14.0,86.0,2.0,26.0,6.0,25.0,62.0
209,10.0,134.0,213.0,14.0,86.0,2.0,26.0,6.0,25.0,62.0
210,7.0,135.0,197.0,19.0,95.0,3.0,29.0,6.0,38.0,60.0
211,7.0,135.0,197.0,19.0,95.0,3.0,29.0,6.0,38.0,60.0
212,10.0,135.0,173.0,23.0,116.0,3.0,47.0,7.0,45.0,58.0
213,10.0,135.0,173.0,23.0,116.0,3.0,47.0,7.0,45.0,58.0
214,12.0,135.0,157.0,25.0,121.0,5.0,43.0,7.0,53.0,46.0
215,12.0,135.0,157.0,25.0,121.0,5.0,43.0,7.0,53.0,46.0
216,14.0,132.0,165.0,14.0,126.0,3.0,49.0,10.0,53.0,35.0
217,14.0,132.0,165.0,14.0,126.0,3.0,49.0,10.0,53.0,35.0
218,18.0,123.0,182.0,10.0,107.0,3.0,58.0,11.0,31.0,25.0
219,18.0,123.0,182.0,10.0,107.0,3.0,58.0,11.0,31.0,25.0
220,17.0,132.0,190.0,16.0,115.0,1.0,56.0,8.0,51.0,28.0
221,17.0,132.0,190.0,16.0,115.0,1.0,56.0,8.0,51.0,28.0
222,5.0,146.0,181.0,17.0,154.0,2.0,46.0,9.0,62.0,30.0
223,5.0,146.0,181.0,17.0,154.0,2.0,46.0,9.0,62.0,30.0
224,10.0,128.0,193.0,20.0,100.0,2.0,40.0,17.0,88.0,35.0
225,10.0,128.0,193.0,20.0,100.0,2.0,40.0,17.0,88.0,35.0
226,19.0,136.0,243.0,20.0,115.0,3.0,37.0,23.0,92.0,20.0
227,19.0,136.0,243.0,20.0,115.0,3.0,37.0,23.0,92.0,20.0
228,17.0,134.0,260.0,19.0,84.0,5.0,41.0,23.0,78.0,14.0
229,17.0,134.0,260.0,19.0,84.0,5.0,41.0,23.0,78.0,14.0
230,9.0,100.0,260.0,23.0,37.0,2.0,35.0,14.0,78.0,15.0
231,9.0,100.0,260.0,23.0,37.0,2.0,35.0,14.0,78.0,15.0
232,4.0,87.0,257.0,24.0,20.0,2.0,15.0,17.0,97.0,16.0
233,4.0,87.0,257.0,24.0,20.0,2.0,15.0,17.0,97.0,16.0
234,8.0,86.0,234.0,21.0,0.0,2.0,13.0,25.0,71.0,9.0
235,8.0,86.0,234.0,21.0,0.0,2.0,13.0,25.0,71.0,9.0
236,9.0,99.0,230.0,10.0,7.0,9.0,14.0,24.0,65.0,12.0
237,9.0,99.0,230.0,10.0,7.0,9.0,14.0,24.0,65.0,12.0
238,7.0,93.0,224.0,10.0,8.0,9.0,10.0,21.0,98.0,16.0
239,7.0,93.0,224.0,10.0,8.0,9.0,10.0,21.0,98.0,16.0
240,8.0,84.0,248.0,7.0,6.0,4.0,4.0,20.0,68.0,23.0
241,8.0,84.0,248.0,7.0,6.0,4.0,4.0,20.0,68.0,23.0
242,14.0,92.0,315.0,8.0,4.0,4.0,13.0,24.0,53.0,27.0
243,14.0,92.0,315.0,8.0,4.0,4.0,13.0,24.0,53.0,27.0
244,12.0,74.0,201.0,9.0,0.0,5.0,22.0,31.0,0.0,36.0
245,12.0,74.0,201.0,9.0,0.0,5.0,22.0,31.0,0.0,36.0
246,10.0,72.0,217.0,11.0,5.0,7.0,14.0,35.0,4.0,43.0
247,10.0,72.0,217.0,11.0,5.0,7.0,14.0,35.0,4.0,43.0
