,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
279,3334.0,4395.0,240.0,4853.0,2.0,597.0,3601.0
280,3279.0,4397.0,239.0,4870.0,2.0,596.0,3637.0
281,3171.0,4395.0,240.0,4881.0,2.0,580.0,3673.0
282,3116.0,4396.0,243.0,4864.0,2.0,581.0,3656.0
283,3139.0,4396.0,244.0,4810.0,2.0,574.0,3637.0
284,3087.0,4397.0,240.0,4780.0,2.0,569.0,3650.0
285,3131.0,4397.0,239.0,4710.0,2.0,566.0,3577.0
286,3199.0,4396.0,238.0,4658.0,2.0,561.0,3543.0
287,3215.0,4396.0,238.0,4553.0,2.0,557.0,3633.0
288,3207.0,4395.0,234.0,4474.0,2.0,561.0,3610.0
289,3225.0,4395.0,237.0,4416.0,2.0,562.0,3660.0
290,3225.0,4396.0,236.0,4308.0,2.0,561.0,3687.0
291,3224.0,4397.0,237.0,4266.0,2.0,564.0,3696.0
292,3233.0,4397.0,236.0,4192.0,2.0,562.0,3691.0
293,3254.0,4396.0,235.0,4170.0,2.0,559.0,3701.0
294,3256.0,4397.0,229.0,4158.0,2.0,563.0,3727.0
295,3234.0,4396.0,232.0,4115.0,2.0,561.0,3716.0
296,3204.0,4398.0,238.0,4059.0,2.0,561.0,3733.0
297,3214.0,4398.0,240.0,3981.0,2.0,564.0,3740.0
298,3227.0,4398.0,236.0,3886.0,2.0,567.0,3783.0
299,3178.0,4397.0,236.0,3880.0,2.0,577.0,3776.0
300,3090.0,4397.0,234.0,3918.0,2.0,582.0,3656.0
301,3018.0,4399.0,232.0,3974.0,2.0,587.0,3574.0
302,2914.0,4398.0,240.0,4012.0,2.0,578.0,3632.0
303,2866.0,4398.0,242.0,4077.0,2.0,588.0,3694.0
304,2882.0,4397.0,233.0,4069.0,2.0,604.0,3659.0
305,2903.0,4398.0,237.0,4008.0,2.0,620.0,3571.0
306,2826.0,4399.0,240.0,4043.0,2.0,630.0,3566.0
307,2765.0,4402.0,240.0,4115.0,2.0,647.0,3499.0
308,2728.0,4398.0,240.0,4221.0,2.0,635.0,3357.0
309,2727.0,4399.0,238.0,4226.0,2.0,634.0,3219.0
310,2666.0,4398.0,239.0,4121.0,2.0,650.0,3218.0
311,2553.0,4397.0,244.0,3947.0,2.0,676.0,3283.0
312,2445.0,4397.0,243.0,3900.0,2.0,686.0,3232.0
