,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-hydro
310,3473.0,1798.0,84.0,2754.0,228.0,3139.0,3418.0
311,3415.0,1812.0,82.0,2795.0,225.0,3141.0,3375.0
312,3380.0,1822.0,82.0,2827.0,228.0,3141.0,3429.0
313,3339.0,1831.0,82.0,2826.0,223.0,3141.0,3422.0
314,3333.0,1832.0,82.0,2809.0,221.0,3140.0,3433.0
315,3346.0,1847.0,82.0,2804.0,221.0,3140.0,3450.0
316,3338.0,1845.0,82.0,2791.0,222.0,3141.0,3436.0
317,3330.0,1845.0,82.0,2789.0,224.0,3140.0,3444.0
318,3337.0,1852.0,82.0,2790.0,224.0,3139.0,3442.0
319,3338.0,1845.0,82.0,2783.0,220.0,3141.0,3436.0
320,3309.0,1852.0,82.0,2726.0,222.0,3140.0,3433.0
321,3248.0,1834.0,82.0,2659.0,221.0,3140.0,3466.0
322,3182.0,1821.0,82.0,2645.0,219.0,3138.0,3472.0
323,3194.0,1813.0,82.0,2662.0,221.0,3140.0,3471.0
324,3235.0,1800.0,82.0,2709.0,223.0,3140.0,3461.0
325,3244.0,1797.0,82.0,2740.0,217.0,3140.0,3450.0
326,3244.0,1797.0,82.0,2740.0,217.0,3140.0,3450.0
327,3259.0,1775.0,82.0,2721.0,228.0,3140.0,3412.0
328,3264.0,1781.0,82.0,2698.0,227.0,3141.0,3427.0
329,3273.0,1767.0,82.0,2677.0,234.0,3140.0,3431.0
330,3264.0,1758.0,80.0,2693.0,231.0,3140.0,3433.0
331,3228.0,1747.0,74.0,2748.0,226.0,3140.0,3369.0
332,3223.0,1735.0,46.0,2806.0,225.0,3141.0,3371.0
333,3239.0,1736.0,12.0,2887.0,226.0,3138.0,3315.0
334,3208.0,1730.0,3.0,2910.0,216.0,3141.0,3296.0
335,3193.0,1740.0,3.0,2910.0,217.0,3140.0,3290.0
336,3168.0,1732.0,3.0,2899.0,222.0,3140.0,3288.0
337,3164.0,1723.0,3.0,2850.0,221.0,3140.0,3304.0
338,3148.0,1732.0,3.0,2876.0,226.0,3140.0,3329.0
339,3139.0,1737.0,3.0,2882.0,233.0,3140.0,3271.0
340,3142.0,1744.0,3.0,2883.0,234.0,3139.0,3283.0
341,3139.0,1739.0,3.0,2869.0,242.0,3139.0,3279.0
342,3145.0,1741.0,3.0,2850.0,242.0,3139.0,3293.0
343,3137.0,1729.0,3.0,2872.0,241.0,3139.0,3305.0
344,3084.0,1700.0,3.0,2916.0,239.0,3139.0,3273.0
345,2951.0,1688.0,3.0,2989.0,234.0,3139.0,3296.0
346,2888.0,1669.0,3.0,3017.0,232.0,3140.0,3281.0
347,2888.0,1669.0,3.0,3017.0,232.0,3140.0,3281.0
348,2864.0,1680.0,3.0,3080.0,226.0,3139.0,3239.0
349,2848.0,1686.0,3.0,3095.0,223.0,3140.0,3230.0
350,2847.0,1685.0,3.0,3097.0,230.0,3139.0,3218.0
351,2844.0,1673.0,3.0,3089.0,226.0,3140.0,3220.0
352,2850.0,1663.0,3.0,3091.0,230.0,3139.0,3241.0
353,2844.0,1680.0,3.0,3081.0,229.0,3140.0,3202.0
354,2845.0,1685.0,3.0,3087.0,236.0,3139.0,3248.0
355,2842.0,1679.0,3.0,3078.0,233.0,3139.0,3225.0
356,2832.0,1676.0,3.0,3088.0,234.0,3138.0,3229.0
357,2843.0,1682.0,3.0,3101.0,233.0,3139.0,3232.0
358,2883.0,1672.0,3.0,3093.0,237.0,3140.0,3198.0
359,2894.0,1651.0,3.0,3101.0,239.0,3139.0,3201.0
360,2895.0,1618.0,3.0,3107.0,237.0,3139.0,3219.0
361,2892.0,1601.0,3.0,3103.0,237.0,3139.0,3198.0
362,2884.0,1602.0,3.0,3112.0,233.0,3138.0,3207.0
363,2870.0,1578.0,3.0,3124.0,243.0,3138.0,3237.0
364,2850.0,1556.0,3.0,3131.0,240.0,3140.0,3243.0
365,2857.0,1545.0,3.0,3136.0,241.0,3139.0,3259.0
366,2883.0,1532.0,3.0,3144.0,243.0,3139.0,3261.0
367,2906.0,1520.0,3.0,3154.0,244.0,3139.0,3278.0
368,2919.0,1527.0,3.0,3164.0,246.0,3140.0,3256.0
369,2920.0,1546.0,3.0,3162.0,243.0,3141.0,3240.0
370,2950.0,1561.0,3.0,3158.0,240.0,3139.0,3275.0
371,2979.0,1550.0,3.0,3155.0,237.0,3139.0,3238.0
372,3007.0,1552.0,3.0,3157.0,243.0,3138.0,3271.0
373,3064.0,1577.0,3.0,3167.0,247.0,3139.0,3233.0
374,3065.0,1589.0,3.0,3168.0,246.0,3137.0,3268.0
375,3034.0,1590.0,3.0,3167.0,245.0,3139.0,3304.0
376,3062.0,1585.0,3.0,3169.0,243.0,3139.0,3293.0
377,3111.0,1579.0,3.0,3180.0,239.0,3139.0,3268.0
378,3150.0,1556.0,3.0,3223.0,238.0,3139.0,3247.0
