,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
705,67.0,96.0,6.0
706,66.0,97.0,10.0
707,66.0,97.0,10.0
708,70.0,114.0,13.0
709,70.0,114.0,13.0
710,50.0,162.0,20.0
711,50.0,162.0,20.0
712,64.0,142.0,27.0
713,64.0,142.0,27.0
714,55.0,131.0,36.0
715,55.0,131.0,36.0
716,44.0,148.0,41.0
717,44.0,148.0,41.0
718,38.0,138.0,42.0
719,38.0,138.0,42.0
720,43.0,123.0,2.0
721,43.0,123.0,2.0
722,38.0,123.0,4.0
723,38.0,123.0,4.0
724,38.0,123.0,4.0
725,12.0,116.0,5.0
726,14.0,223.0,1.0
727,14.0,223.0,1.0
728,17.0,145.0,1.0
729,17.0,145.0,1.0
730,25.0,137.0,0.0
731,25.0,137.0,0.0
732,10.0,179.0,11.0
733,10.0,179.0,11.0
734,13.0,223.0,11.0
735,13.0,223.0,11.0
736,15.0,160.0,0.0
737,15.0,160.0,0.0
738,0.0,167.0,0.0
739,0.0,167.0,0.0
740,0.0,208.0,0.0
741,0.0,208.0,0.0
742,0.0,231.0,10.0
743,0.0,231.0,10.0
744,0.0,198.0,13.0
745,0.0,198.0,13.0
746,0.0,305.0,13.0
747,0.0,305.0,13.0
748,9.0,237.0,0.0
749,9.0,237.0,0.0
750,9.0,196.0,0.0
751,9.0,196.0,0.0
752,0.0,171.0,5.0
753,0.0,171.0,5.0
754,9.0,88.0,8.0
755,9.0,88.0,8.0
756,12.0,19.0,13.0
757,12.0,19.0,13.0
758,13.0,30.0,15.0
759,13.0,30.0,15.0
760,14.0,34.0,6.0
761,14.0,34.0,6.0
762,10.0,34.0,6.0
763,10.0,34.0,6.0
764,18.0,29.0,4.0
765,18.0,29.0,4.0
766,23.0,21.0,7.0
767,23.0,21.0,7.0
768,15.0,38.0,14.0
769,15.0,38.0,14.0
770,13.0,45.0,16.0
771,13.0,45.0,16.0
772,19.0,43.0,13.0
