,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
869,16.0,34.0
870,9.0,37.0
871,28.0,44.0
872,16.0,42.0
873,66.0,156.0
874,116.0,202.0
875,120.0,215.0
876,112.0,216.0
877,103.0,202.0
878,116.0,207.0
879,111.0,223.0
880,20.0,53.0
881,31.0,61.0
882,29.0,62.0
883,19.0,45.0
884,19.0,42.0
885,15.0,26.0
886,13.0,27.0
887,16.0,33.0
888,23.0,74.0
889,30.0,78.0
890,16.0,40.0
891,18.0,29.0
892,21.0,49.0
893,78.0,168.0
894,106.0,189.0
895,18.0,48.0
896,35.0,83.0
897,18.0,38.0
898,43.0,110.0
899,47.0,98.0
900,66.0,126.0
901,33.0,65.0
902,17.0,30.0
903,15.0,34.0
904,27.0,59.0
905,25.0,45.0
906,31.0,66.0
907,14.0,27.0
908,55.0,106.0
909,51.0,110.0
910,72.0,168.0
911,13.0,48.0
912,15.0,28.0
913,14.0,35.0
914,39.0,103.0
915,8.0,29.0
916,12.0,24.0
917,6.0,27.0
918,81.0,120.0
919,21.0,47.0
920,30.0,83.0
921,21.0,60.0
922,43.0,88.0
923,19.0,29.0
924,12.0,30.0
925,9.0,30.0
926,56.0,114.0
927,59.0,125.0
928,29.0,97.0
929,7.0,20.0
930,13.0,29.0
931,68.0,142.0
932,58.0,143.0
933,54.0,105.0
934,19.0,31.0
935,15.0,30.0
936,19.0,44.0
937,12.0,32.0
938,49.0,84.0
939,53.0,117.0
940,10.0,42.0
941,15.0,39.0
942,19.0,36.0
943,30.0,63.0
944,19.0,43.0
945,61.0,127.0
946,56.0,118.0
947,69.0,135.0
948,62.0,105.0
949,54.0,93.0
950,48.0,96.0
951,52.0,107.0
952,41.0,61.0
953,25.0,47.0
954,55.0,104.0
955,38.0,74.0
956,12.0,15.0
957,8.0,26.0
958,7.0,21.0
959,10.0,31.0
960,26.0,39.0
961,21.0,50.0
962,20.0,40.0
963,44.0,81.0
964,55.0,118.0
965,27.0,124.0
966,30.0,54.0
967,17.0,45.0
968,13.0,30.0
969,9.0,27.0
