,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
106,788.9595,1467.826,1847.4125,494.118,2405.514,6578.703,827.5758,21836.2823,1358.1237,2964.5537,1243.5159,1859.9802
107,813.2034,1485.5219,1839.4949,507.0889,2437.5154,6596.2207,829.3934,21984.933600000004,1376.0469,2984.2014,1252.6252,1863.6215
108,806.7949,1491.6722,1854.1792,488.7488,2410.0083,6621.4766,832.1698,22042.290599999997,1401.3635,3006.6357,1272.1437,1857.0979
109,810.566,1496.1191,1857.6754,511.0932,2408.4092,6612.8003,830.7399,22083.445799999998,1404.51,3014.5276,1268.8301,1868.175
110,826.99,1495.3813,1854.9634,487.6269,2392.8206,6638.9717,825.9078,22117.1948,1423.1185,3019.867,1277.405,1874.1426
111,814.2551,1507.4349,1915.9429,500.9913,2464.5745,6635.032,820.4543,22271.057200000003,1426.876,3035.8574,1269.3558,1880.283
112,814.2551,1507.4349,1915.9429,500.9913,2464.5745,6635.032,820.4543,22271.057200000003,1426.876,3035.8574,1269.3558,1880.283
113,817.8314,1520.027,1906.7963,494.5792,2465.2332,6653.6606,823.1001,22307.7316,1436.0754,3033.06,1276.4343,1880.9341
114,826.0482,1516.5164,1909.3718,495.7879,2462.584,6646.2383,836.0407,22304.557200000003,1428.5369,3037.5522,1264.1672,1881.7136
115,837.8783,1500.8352,1893.7334,514.2236,2474.7107,6668.66,814.9345,22321.836600000002,1425.7753,3033.295,1296.0391,1861.7515
116,825.7002,1503.2073,1930.4304,517.2811,2475.9497,6646.4536,833.7768,22329.428000000004,1425.6116,3027.3357,1287.1306,1856.551
117,832.7167,1495.8684,1903.511,500.3501,2467.6223,6638.4004,825.5898,22265.6941,1419.7937,3025.8796,1285.7595,1870.2026
118,829.4083,1522.9318,1917.8817,482.1622,2458.0664,6671.622,830.8917,22299.7742,1421.8926,3020.1855,1284.5653,1860.1667
119,816.372,1515.6117,1914.421,492.8567,2421.544,6644.9175,837.4929,22215.923600000002,1415.8589,3011.6167,1283.1072,1862.125
120,826.1706,1514.0184,1928.7465,490.9705,2441.5818,6667.515,851.561,22287.113800000003,1417.5415,3014.7812,1278.0104,1856.2169
121,822.2969,1514.9584,1924.7672,500.6126,2484.3875,6659.7686,849.9662,22307.374399999997,1414.3875,3010.8613,1272.6794,1852.6888
122,820.0931,1504.2847,1922.2609,498.426,2488.2776,6638.414,849.3573,22270.6165,1413.4458,2995.657,1291.3835,1849.0166
