,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay
266,4.0,7.0,39.0,84.0,172.0,161.0,123.0,17.0,2.0,10.0
267,4.0,7.0,39.0,84.0,172.0,161.0,123.0,17.0,2.0,10.0
268,5.0,10.0,18.0,99.0,156.0,131.0,76.0,21.0,5.0,14.0
269,5.0,10.0,18.0,99.0,156.0,131.0,76.0,21.0,5.0,14.0
270,5.0,10.0,11.0,82.0,141.0,87.0,50.0,21.0,6.0,14.0
271,5.0,10.0,11.0,82.0,141.0,87.0,50.0,21.0,6.0,14.0
272,5.0,0.0,7.0,79.0,114.0,65.0,69.0,23.0,5.0,0.0
273,5.0,0.0,7.0,79.0,114.0,65.0,69.0,23.0,5.0,0.0
274,6.0,3.0,7.0,38.0,133.0,49.0,58.0,21.0,7.0,0.0
275,6.0,3.0,7.0,38.0,133.0,49.0,58.0,21.0,7.0,0.0
276,4.0,3.0,9.0,31.0,24.0,41.0,50.0,27.0,5.0,0.0
277,4.0,3.0,9.0,31.0,24.0,41.0,50.0,27.0,5.0,0.0
278,4.0,10.0,7.0,33.0,35.0,36.0,38.0,30.0,9.0,18.0
279,4.0,10.0,7.0,33.0,35.0,36.0,38.0,30.0,9.0,18.0
280,6.0,19.0,6.0,40.0,34.0,41.0,48.0,35.0,13.0,19.0
281,6.0,19.0,6.0,40.0,34.0,41.0,48.0,35.0,13.0,19.0
282,6.0,23.0,8.0,57.0,32.0,51.0,66.0,35.0,12.0,21.0
283,6.0,23.0,8.0,57.0,32.0,51.0,66.0,35.0,12.0,21.0
284,5.0,18.0,18.0,72.0,45.0,56.0,82.0,37.0,12.0,18.0
285,5.0,18.0,18.0,72.0,45.0,56.0,82.0,37.0,12.0,18.0
286,2.0,15.0,21.0,86.0,40.0,57.0,68.0,46.0,11.0,18.0
287,2.0,15.0,21.0,86.0,40.0,57.0,68.0,46.0,11.0,18.0
288,3.0,22.0,20.0,92.0,44.0,59.0,67.0,48.0,9.0,28.0
289,3.0,22.0,20.0,92.0,44.0,59.0,67.0,48.0,9.0,28.0
290,6.0,17.0,14.0,100.0,46.0,70.0,43.0,61.0,10.0,16.0
291,6.0,17.0,14.0,100.0,46.0,70.0,43.0,61.0,10.0,16.0
292,13.0,25.0,20.0,95.0,48.0,87.0,39.0,72.0,17.0,16.0
293,13.0,25.0,20.0,95.0,48.0,87.0,39.0,72.0,17.0,16.0
294,12.0,27.0,23.0,82.0,38.0,76.0,47.0,85.0,26.0,0.0
295,12.0,27.0,23.0,82.0,38.0,76.0,47.0,85.0,26.0,0.0
296,10.0,26.0,20.0,107.0,50.0,76.0,55.0,86.0,32.0,4.0
297,10.0,26.0,20.0,107.0,50.0,76.0,55.0,86.0,32.0,4.0
298,11.0,9.0,10.0,103.0,40.0,89.0,62.0,78.0,24.0,12.0
299,11.0,9.0,10.0,103.0,40.0,89.0,62.0,78.0,24.0,12.0
300,9.0,17.0,4.0,94.0,47.0,98.0,67.0,68.0,25.0,17.0
