,pandemic_susceptible,pandemic_recovered,pandemic_infected
574,0.57735375,0.41528125,0.00010375
575,0.5773325,0.4153325,9.25e-05
576,0.57731375,0.41537625,9e-05
577,0.57730125,0.4154175,8.125e-05
578,0.57729,0.41546375,7.375e-05
579,0.57728875,0.41548999999999997,6.125e-05
580,0.57728125,0.41552625,5.5e-05
581,0.57726875,0.4155625,4.7499999999999996e-05
582,0.5772625,0.4156,4.625e-05
583,0.5772550000000001,0.415625,4.7499999999999996e-05
584,0.5772525,0.41565125,3.75e-05
585,0.57725,0.415685,3.375e-05
586,0.57724625,0.41571,3.2500000000000004e-05
587,0.57724375,0.415735,2.625e-05
588,0.5772425,0.41575500000000004,2.125e-05
589,0.57723875,0.415775,2e-05
590,0.577235,0.41579125,1.625e-05
591,0.577235,0.41581999999999997,1.25e-05
592,0.57723375,0.4158425,1.25e-05
593,0.57723,0.415875,1.25e-05
594,0.57723,0.41589625,1.25e-05
595,0.5772275,0.415905,1.4999999999999999e-05
596,0.57722625,0.41592250000000003,1.4999999999999999e-05
597,0.577225,0.41594125,1.625e-05
598,0.57722375,0.415955,1.375e-05
599,0.5772225000000001,0.41596375,1.125e-05
600,0.57722,0.41596750000000005,1.25e-05
601,0.5772175,0.41597749999999994,1.125e-05
602,0.5772175,0.4159875,8.75e-06
603,0.5772175,0.41600125,7.499999999999999e-06
604,0.57721625,0.41600875,7.499999999999999e-06
605,0.57721625,0.41602375,7.499999999999999e-06
606,0.57721625,0.41602875,6.25e-06
607,0.57721625,0.4160375,5e-06
608,0.57721625,0.41603999999999997,3.75e-06
609,0.57721375,0.416045,5e-06
610,0.57721375,0.41604875,3.75e-06
611,0.57721375,0.41605375,3.75e-06
612,0.57721375,0.41605875,1.25e-06
613,0.57721375,0.41606125,1.25e-06
614,0.57721375,0.41606625,1.25e-06
615,0.57721375,0.41607,0.0
616,0.9993675,1.25e-06,0.00062875
617,0.99902,6.125e-05,0.0008150000000000001
618,0.9979399999999999,0.0001525,0.00167125
619,0.9949325000000001,0.0003925,0.0041075
620,0.98667875,0.000975,0.010935
621,0.9683725000000001,0.00245,0.02567375
622,0.9388825000000001,0.005442499999999999,0.047807499999999996
623,0.9041075000000001,0.0106575,0.07059
624,0.86784625,0.017765,0.0907225
625,0.8313275,0.02708125,0.10724375
626,0.79675,0.0381825,0.11876375
627,0.76529625,0.05045,0.12578
628,0.7370575,0.06393875,0.1283875
629,0.71180125,0.078375,0.128145
630,0.68901875,0.09358999999999999,0.12559875
631,0.66834125,0.10882625,0.12188125
632,0.64956375,0.12454875,0.11692000000000001
633,0.63280125,0.14034625,0.11099500000000001
634,0.6174675000000001,0.15630875,0.10470750000000001
635,0.6036725000000001,0.17200625,0.098355
636,0.591575,0.1873325,0.09165375
637,0.58066875,0.20218125,0.08530499999999999
638,0.57074375,0.2171275,0.0789275
639,0.56188375,0.2314875,0.07279625
640,0.55386625,0.2454225,0.066985
641,0.54670625,0.25883375,0.06152375
642,0.5402325,0.27189625,0.05623125
643,0.5342975000000001,0.28448375,0.05148250000000001
644,0.52896125,0.296545,0.04709125
645,0.5241399999999999,0.30816875,0.0428625
646,0.5195225,0.31911375,0.039335
647,0.51538875,0.3295625,0.03600375
648,0.51164,0.3396425,0.0330375
649,0.508165,0.34956,0.03022
650,0.504915,0.35885875,0.027635000000000003
651,0.50191375,0.36764875,0.02520375
652,0.4992475,0.3759675,0.023125
653,0.49668875,0.38419375,0.02123375
654,0.49432125,0.39191,0.01947875
655,0.4920875,0.399165,0.01797375
656,0.49013125,0.4059725,0.016615
657,0.48823875,0.41265625,0.01525
658,0.48653500000000005,0.41898125,0.01398375
659,0.48494125,0.42495875,0.01289125
660,0.48356125,0.430605,0.011885
661,0.48227625,0.43588875,0.01097125
662,0.4810375,0.44081875,0.01009875
663,0.47997749999999995,0.44565625,0.00919875
